topic_id,makro_id,mezo_id,count,llm_label
0,2,5,3299,Lack of depth and engagement in course material
1,2,6,1506,Quiz errors and outdated content complaints
2,1,1,683,Lack of clarity and support for assignments
3,1,1,670,Discrepancy Between Lectures and Assignments
4,1,3,553,Video clarity and course materials不足
5,1,3,517,Lab specifications and clarity issues
6,1,1,503,Course organization and unclear assignments
7,1,1,440,Lack of depth and engagement in content
8,2,6,429,Inadequate peer review and grading process
9,3,7,378,Certificate issues and poor support experience
10,2,5,327,Ineffective and monotonous teaching style
11,1,1,310,Inadequate alignment of assignments and lectures
12,1,3,277,Course content lacks depth and practical value
13,1,2,262,Outdated course materials and service issues
14,2,5,255,Insufficient video content and reliance on book
15,2,5,251,Language proficiency and accent difficulties
16,1,2,249,Outdated content and lack of relevant emphasis
17,1,2,245,Insufficient explanations and course complexity issues
18,1,2,241,Lack of depth and clarity in content
19,1,2,240,Course content misalignment with expectations and difficulty
20,1,2,233,Lack of depth in nutrition content
21,1,2,224,Outdated tutorial videos and interface issues
22,2,5,221,Poor exercise design and lack of support
23,1,1,211,Insufficient mathematical depth and support
24,2,5,196,Course cohesion and clarity issues
25,1,4,183,Poor audio quality and delivery issues
26,1,4,181,Presentation quality and slide accessibility issues
27,1,4,163,Excessive video length and poor engagement
28,1,4,163,Inadequate lecture quality and structure
29,1,2,162,Outdated content and poor JavaScript instruction
30,1,3,156,Course content and accessibility issues
31,1,3,150,Lack of clarity in math instruction
32,1,2,147,Course difficulty and content coverage issues
33,1,1,145,Lack of clarity in video assignments and instructions
34,1,2,144,Lack of depth and specificity in content
35,2,5,144,Lack of clarity and difficulty in material
36,1,3,138,Poor course structure and inadequate support
37,1,3,119,Lack of practical machine learning training
38,1,3,103,Lab functionality and performance issues
39,2,5,101,Course quality and content issues
40,1,3,99,Programming assignments and course clarity issues
41,3,7,96,Unenrollment and course cancellation requests
42,2,5,95,Misleading course content and format issues
43,2,5,90,Course difficulty and unclear instructions
44,1,2,85,Course content is outdated and lacks updates.
45,2,5,84,Insufficient structure and engagement in capstone
46,1,3,83,Limited use of open-source tools in course
47,1,2,83,Content Bias and Lack of Diverse Perspectives
48,2,5,78,Lack of practical application and clarity
49,1,4,77,Outdated course content needs urgent update
50,1,1,77,Overwhelming course content and unclear instructions
51,1,1,75,Mismatch between lectures and assignments
52,1,3,73,Inadequate Java learning resources and tools
53,2,5,73,Course workload and time expectations
54,1,3,70,Inadequate instruction for beginners in commands
55,1,3,66,Autograder issues hinder coding learning experience
56,2,5,65,Course structure and assignment challenges
57,2,5,64,Course content and organization issues
58,2,5,63,Lack of practical content and disorganization
59,1,3,61,Lack of practical application in networking training
60,2,5,58,Course content quality and assignment issues
61,1,4,56,Lack of logical structure and engaging materials
62,2,5,56,Lack of support in discussion forums
63,3,7,55,Payment issues and financial aid problems
64,2,5,55,Course content focus and structure issues
65,1,3,55,Lack of technical depth and practical examples
66,2,5,53,Inadequate course content and structure
67,1,3,52,Insufficient depth and explanation in course content
